Sequence 1, is of length 4080, mapped to Original, on beginning location of: 11173
Sequence 4633, is of length 12695, mapped to Original, on beginning location of: 113071
Sequence 4636, is of length 4533, mapped to Original, on beginning location of: 2158882
Sequence 4639, is of length 4464, mapped to Complement, on beginning location of: 1968760
Sequence 4642, is of length 4213, mapped to Complement, on beginning location of: 23199
Sequence 4645, is of length 6205, mapped to Original, on beginning location of: 38715
Sequence 4648, is of length 13575, mapped to Original, on beginning location of: 1137187
Sequence 4651, is of length 9218, mapped to Complement, on beginning location of: 14585
Sequence 4654, is of length 10192, mapped to Complement, on beginning location of: 8457
Sequence 4657, is of length 14191, mapped to Complement, on beginning location of: 2176829
Sequence 4660, is of length 1230, mapped to Complement, on beginning location of: 4588942
Sequence 4663, is of length 6579, mapped to Original, on beginning location of: 3875664
Sequence 4666, is of length 11616, mapped to Original, on beginning location of: 21231
Sequence 4669, is of length 3060, mapped to Complement, on beginning location of: 1383989
Sequence 4672, is of length 9622, mapped to Original, on beginning location of: 20894
Sequence 4675, is of length 4682, mapped to Original, on beginning location of: 3405403
Sequence 4678, is of length 6964, mapped to Complement, on beginning location of: 2121655
Sequence 4681, is of length 6229, mapped to Original, on beginning location of: 41755
Sequence 4684, is of length 13982, mapped to Original, on beginning location of: 429225
Sequence 4687, is of length 14777, mapped to Original, on beginning location of: 2592483
Sequence 4690, is of length 10312, mapped to Complement, on beginning location of: 43929
Sequence 4693, is of length 15062, mapped to Complement, on beginning location of: 1337801
Sequence 4696, is of length 1960, mapped to Original, on beginning location of: 4587177
Sequence 4699, is of length 7219, mapped to Complement, on beginning location of: 41349
Sequence 4702, is of length 19300, mapped to Complement, on beginning location of: 3775445
Sequence 4705, is of length 2702, mapped to Original, on beginning location of: 25979
Sequence 4708, is of length 6678, mapped to Complement, on beginning location of: 207605
Sequence 4711, is of length 7056, mapped to Original, on beginning location of: 17721
Sequence 4714, is of length 8978, mapped to Original, on beginning location of: 19446
Sequence 4717, is of length 12713, mapped to Complement, on beginning location of: 13908
Sequence 4720, is of length 8814, mapped to Original, on beginning location of: 32099
Sequence 4723, is of length 3960, mapped to Original, on beginning location of: 4301775
Sequence 4726, is of length 15337, mapped to Complement, on beginning location of: 7560
Sequence 4729, is of length 7367, mapped to Complement, on beginning location of: 1402689
Sequence 4732, is of length 7677, mapped to Original, on beginning location of: 9308
Sequence 4735, is of length 7492, mapped to Complement, on beginning location of: 4085560
Sequence 4738, is of length 12264, mapped to Original, on beginning location of: 45038
Sequence 4741, is of length 8168, mapped to Original, on beginning location of: 147164
Sequence 4744, is of length 7949, mapped to Original, on beginning location of: 3198160
Sequence 4747, is of length 10000, mapped to Complement, on beginning location of: 4417211
Sequence 4750, is of length 9646, mapped to Complement, on beginning location of: 30534
Sequence 4753, is of length 10875, mapped to Complement, on beginning location of: 465836
Sequence 4756, is of length 7182, mapped to Original, on beginning location of: 2597668
Sequence 4759, is of length 8494, mapped to Original, on beginning location of: 584641
Sequence 4762, is of length 9387, mapped to Original, on beginning location of: 8392
Sequence 4765, is of length 7139, mapped to Original, on beginning location of: 2654684
Sequence 4768, is of length 2929, mapped to Complement, on beginning location of: 1940
Sequence 4771, is of length 5284, mapped to Original, on beginning location of: 3029605
Sequence 4774, is of length 1344, mapped to Original, on beginning location of: 3531026
Sequence 4777, is of length 7542, mapped to Original, on beginning location of: 19809
Sequence 4780, is of length 8660, mapped to Complement, on beginning location of: 31523
Sequence 4783, is of length 5733, mapped to Original, on beginning location of: 27068
Sequence 4786, is of length 9502, mapped to Original, on beginning location of: 4385158
Sequence 4789, is of length 6219, mapped to Complement, on beginning location of: 30954
Sequence 4792, is of length 2410, mapped to Original, on beginning location of: 14355
Sequence 4795, is of length 6957, mapped to Complement, on beginning location of: 648472
Sequence 4798, is of length 13511, mapped to Original, on beginning location of: 2802894
Sequence 4801, is of length 6574, mapped to Original, on beginning location of: 3866017
Sequence 4804, is of length 3715, mapped to Complement, on beginning location of: 2036213
Sequence 4807, is of length 6073, mapped to Complement, on beginning location of: 23593
Sequence 4810, is of length 8529, mapped to Complement, on beginning location of: 10961
Sequence 4813, is of length 7559, mapped to Complement, on beginning location of: 36509
Sequence 4816, is of length 7092, mapped to Original, on beginning location of: 1462
Sequence 4819, is of length 10006, mapped to Complement, on beginning location of: 1825423
Sequence 4822, is of length 10199, mapped to Original, on beginning location of: 465836
Sequence 4825, is of length 9926, mapped to Original, on beginning location of: 29388
Sequence 4828, is of length 10763, mapped to Complement, on beginning location of: 16552
Sequence 4831, is of length 8471, mapped to Original, on beginning location of: 34047
Sequence 4834, is of length 13992, mapped to Original, on beginning location of: 41134
Sequence 4837, is of length 4174, mapped to Original, on beginning location of: 4354777
Sequence 4840, is of length 8733, mapped to Complement, on beginning location of: 22929
Sequence 4843, is of length 8011, mapped to Original, on beginning location of: 721299
Sequence 4846, is of length 8569, mapped to Original, on beginning location of: 8073
Sequence 4849, is of length 10344, mapped to Original, on beginning location of: 20593
Sequence 4852, is of length 18729, mapped to Complement, on beginning location of: 923250
Sequence 4855, is of length 7257, mapped to Original, on beginning location of: 1108962
Sequence 4858, is of length 10206, mapped to Original, on beginning location of: 989126
Sequence 4861, is of length 10710, mapped to Complement, on beginning location of: 3176671
Sequence 4864, is of length 9233, mapped to Original, on beginning location of: 15047
Sequence 4867, is of length 4354, mapped to Original, on beginning location of: 978269
Sequence 4870, is of length 6813, mapped to Original, on beginning location of: 14585
Sequence 4873, is of length 10574, mapped to Original, on beginning location of: 2730378
Sequence 4876, is of length 15186, mapped to Original, on beginning location of: 3545111
Sequence 4879, is of length 3314, mapped to Original, on beginning location of: 3936995
Sequence 4882, is of length 9903, mapped to Original, on beginning location of: 2099315
Sequence 4885, is of length 5966, mapped to Complement, on beginning location of: 14356
Sequence 4888, is of length 4872, mapped to Original, on beginning location of: 12019
Sequence 4891, is of length 8814, mapped to Complement, on beginning location of: 16905
Sequence 4894, is of length 10433, mapped to Complement, on beginning location of: 4122933
Sequence 4897, is of length 4656, mapped to Original, on beginning location of: 3405403
Sequence 4900, is of length 4769, mapped to Original, on beginning location of: 21964
Sequence 4903, is of length 4218, mapped to Original, on beginning location of: 39310
Sequence 4906, is of length 9121, mapped to Complement, on beginning location of: 2817930
Sequence 4909, is of length 5489, mapped to Original, on beginning location of: 18061
Sequence 4912, is of length 15821, mapped to Complement, on beginning location of: 39170
Sequence 4915, is of length 4418, mapped to Original, on beginning location of: 3288601
Sequence 4918, is of length 4653, mapped to Complement, on beginning location of: 35986
Sequence 4921, is of length 15044, mapped to Complement, on beginning location of: 30501
Sequence 4924, is of length 5661, mapped to Original, on beginning location of: 87146
Sequence 4927, is of length 8036, mapped to Complement, on beginning location of: 1033713
Sequence 4930, is of length 14297, mapped to Complement, on beginning location of: 34591
Sequence 4933, is of length 1559, mapped to Original, on beginning location of: 13768
Sequence 4936, is of length 13990, mapped to Complement, on beginning location of: 3841168
Sequence 4939, is of length 1252, mapped to Complement, on beginning location of: 1021
Sequence 4942, is of length 11580, mapped to Original, on beginning location of: 16450
Sequence 4945, is of length 1854, mapped to Original, on beginning location of: 3294724
Sequence 4948, is of length 20502, mapped to Original, on beginning location of: 3097
Sequence 4951, is of length 8284, mapped to Complement, on beginning location of: 598
Sequence 4954, is of length 9246, mapped to Original, on beginning location of: 36112
Sequence 4957, is of length 12356, mapped to Original, on beginning location of: 158834
Sequence 4960, is of length 13893, mapped to Original, on beginning location of: 3077860
Sequence 4963, is of length 16729, mapped to Complement, on beginning location of: 3485364
Sequence 4966, is of length 8210, mapped to Original, on beginning location of: 698509
Sequence 4969, is of length 10221, mapped to Original, on beginning location of: 4357205
Sequence 4972, is of length 1812, mapped to Original, on beginning location of: 3867525
Sequence 4975, is of length 6335, mapped to Complement, on beginning location of: 28031
Sequence 4978, is of length 1996, mapped to Complement, on beginning location of: 3582494
Sequence 4981, is of length 9049, mapped to Original, on beginning location of: 4015928
Sequence 4984, is of length 10484, mapped to Original, on beginning location of: 15519
Sequence 4987, is of length 6424, mapped to Original, on beginning location of: 38373
Sequence 4990, is of length 14259, mapped to Complement, on beginning location of: 921211
Sequence 4993, is of length 3317, mapped to Complement, on beginning location of: 134049
Sequence 4996, is of length 9279, mapped to Complement, on beginning location of: 30534
Sequence 4999, is of length 6046, mapped to Original, on beginning location of: 2163448
Sequence 5002, is of length 9848, mapped to Complement, on beginning location of: 34960
Sequence 5005, is of length 9183, mapped to Original, on beginning location of: 3109211
Sequence 5008, is of length 13468, mapped to Original, on beginning location of: 15835
Sequence 5011, is of length 10555, mapped to Complement, on beginning location of: 158834
Sequence 5014, is of length 6112, mapped to Original, on beginning location of: 3114745
Sequence 5017, is of length 1836, mapped to Complement, on beginning location of: 33191
Sequence 5020, is of length 8213, mapped to Original, on beginning location of: 1370653
Sequence 5023, is of length 1463, mapped to Complement, on beginning location of: 212683
Sequence 5026, is of length 10844, mapped to Original, on beginning location of: 2887096
Sequence 5029, is of length 1733, mapped to Complement, on beginning location of: 2353784
Sequence 5032, is of length 5265, mapped to Original, on beginning location of: 2157739
Sequence 5035, is of length 6987, mapped to Original, on beginning location of: 42558
Sequence 5038, is of length 3483, mapped to Complement, on beginning location of: 3977238
Sequence 5041, is of length 5329, mapped to Complement, on beginning location of: 30853
Sequence 5044, is of length 11529, mapped to Complement, on beginning location of: 27777
Sequence 5047, is of length 10824, mapped to Complement, on beginning location of: 6473
Sequence 5050, is of length 3587, mapped to Complement, on beginning location of: 19398
Sequence 5053, is of length 5471, mapped to Original, on beginning location of: 423812
Sequence 5056, is of length 5969, mapped to Original, on beginning location of: 31379
Sequence 5059, is of length 5370, mapped to Complement, on beginning location of: 19935
Sequence 5062, is of length 2260, mapped to Complement, on beginning location of: 2483
Sequence 5065, is of length 6137, mapped to Complement, on beginning location of: 22929
Sequence 5068, is of length 5095, mapped to Complement, on beginning location of: 25139
Sequence 5071, is of length 4304, mapped to Original, on beginning location of: 13976
Sequence 5074, is of length 3205, mapped to Complement, on beginning location of: 22405
Sequence 5077, is of length 8630, mapped to Complement, on beginning location of: 2443090
Sequence 5080, is of length 8420, mapped to Original, on beginning location of: 22295
Sequence 5083, is of length 5014, mapped to Original, on beginning location of: 868295
Sequence 5086, is of length 3486, mapped to Original, on beginning location of: 782170
Sequence 5089, is of length 6945, mapped to Complement, on beginning location of: 4623706
Sequence 5092, is of length 13292, mapped to Original, on beginning location of: 32430
Sequence 5095, is of length 16162, mapped to Complement, on beginning location of: 4988
Sequence 5098, is of length 13337, mapped to Original, on beginning location of: 15835
Sequence 5101, is of length 15803, mapped to Complement, on beginning location of: 4587343
Sequence 5104, is of length 6094, mapped to Complement, on beginning location of: 2479602
Sequence 5107, is of length 7632, mapped to Complement, on beginning location of: 2614484
Sequence 5110, is of length 9021, mapped to Complement, on beginning location of: 2532213
Sequence 5113, is of length 7855, mapped to Complement, on beginning location of: 4042191
Sequence 5116, is of length 7936, mapped to Complement, on beginning location of: 3551269
Sequence 5119, is of length 7225, mapped to Complement, on beginning location of: 29094
Sequence 5122, is of length 1454, mapped to Original, on beginning location of: 1959
Sequence 5125, is of length 5970, mapped to Original, on beginning location of: 4237701
Sequence 5128, is of length 3956, mapped to Complement, on beginning location of: 25321
Sequence 5131, is of length 6307, mapped to Original, on beginning location of: 2046753
Sequence 5134, is of length 7639, mapped to Original, on beginning location of: 44549
Sequence 5137, is of length 6833, mapped to Complement, on beginning location of: 219742
Sequence 5140, is of length 2352, mapped to Complement, on beginning location of: 31359
Sequence 5143, is of length 17817, mapped to Original, on beginning location of: 1265511
Sequence 5146, is of length 9758, mapped to Complement, on beginning location of: 2238640
Sequence 5149, is of length 9340, mapped to Complement, on beginning location of: 1181
Sequence 5152, is of length 4373, mapped to Original, on beginning location of: 668355
Sequence 5155, is of length 7564, mapped to Original, on beginning location of: 43225
Sequence 5158, is of length 13411, mapped to Original, on beginning location of: 1143666
Sequence 5161, is of length 5307, mapped to Original, on beginning location of: 3918544
Sequence 5164, is of length 7389, mapped to Original, on beginning location of: 2222041
Sequence 5167, is of length 5106, mapped to Complement, on beginning location of: 3002845
Sequence 5170, is of length 10964, mapped to Original, on beginning location of: 39907
Sequence 5173, is of length 12119, mapped to Original, on beginning location of: 3227988
Sequence 5176, is of length 9093, mapped to Complement, on beginning location of: 4073
Sequence 5179, is of length 10739, mapped to Original, on beginning location of: 486414
Sequence 5182, is of length 8583, mapped to Complement, on beginning location of: 1968760
Sequence 5185, is of length 6974, mapped to Original, on beginning location of: 2592760
Sequence 5188, is of length 9031, mapped to Complement, on beginning location of: 1570553
Sequence 5191, is of length 13061, mapped to Complement, on beginning location of: 19143
Sequence 5194, is of length 16138, mapped to Complement, on beginning location of: 1165267
Sequence 5197, is of length 4120, mapped to Original, on beginning location of: 4372
Sequence 5200, is of length 6019, mapped to Complement, on beginning location of: 11402
Sequence 5203, is of length 29233, mapped to Complement, on beginning location of: 3810478
Sequence 5206, is of length 5301, mapped to Original, on beginning location of: 1005696
Sequence 5209, is of length 4646, mapped to Original, on beginning location of: 2998691
Sequence 5212, is of length 1271, mapped to Complement, on beginning location of: 3868513
Sequence 5215, is of length 10399, mapped to Complement, on beginning location of: 21231
Sequence 5218, is of length 6616, mapped to Complement, on beginning location of: 11167
Sequence 5221, is of length 6765, mapped to Original, on beginning location of: 22054
Sequence 5224, is of length 10782, mapped to Complement, on beginning location of: 13603
Sequence 5227, is of length 6089, mapped to Complement, on beginning location of: 960291
Sequence 5230, is of length 11721, mapped to Complement, on beginning location of: 29209
Sequence 5233, is of length 11493, mapped to Complement, on beginning location of: 41618
Sequence 5236, is of length 10570, mapped to Complement, on beginning location of: 4122132
Sequence 5239, is of length 7261, mapped to Original, on beginning location of: 27664
Sequence 5242, is of length 7270, mapped to Complement, on beginning location of: 4235914
Sequence 5245, is of length 31307, mapped to Complement, on beginning location of: 3936995
Sequence 5248, is of length 4254, mapped to Complement, on beginning location of: 1625240
Sequence 5251, is of length 9836, mapped to Complement, on beginning location of: 4565208
Sequence 5254, is of length 13884, mapped to Original, on beginning location of: 2267374
Sequence 5257, is of length 9237, mapped to Original, on beginning location of: 2949491
Sequence 5260, is of length 7098, mapped to Complement, on beginning location of: 2614692
Sequence 5263, is of length 6653, mapped to Complement, on beginning location of: 2482
Sequence 5266, is of length 4556, mapped to Complement, on beginning location of: 784684
Sequence 5269, is of length 6035, mapped to Complement, on beginning location of: 4410259
Sequence 5272, is of length 8141, mapped to Original, on beginning location of: 2328197
Sequence 5275, is of length 11296, mapped to Complement, on beginning location of: 4336988
Sequence 5278, is of length 9630, mapped to Complement, on beginning location of: 17452
Sequence 5281, is of length 10903, mapped to Original, on beginning location of: 233928
Sequence 5284, is of length 6878, mapped to Original, on beginning location of: 864354
Sequence 5287, is of length 8267, mapped to Original, on beginning location of: 4304029
Sequence 5290, is of length 6759, mapped to Complement, on beginning location of: 1940
Sequence 5293, is of length 19206, mapped to Complement, on beginning location of: 3551269
Sequence 5296, is of length 10812, mapped to Complement, on beginning location of: 28643
Sequence 5299, is of length 6756, mapped to Original, on beginning location of: 3987113
Sequence 5302, is of length 4424, mapped to Original, on beginning location of: 176019
Sequence 5305, is of length 11600, mapped to Original, on beginning location of: 91309
Sequence 5308, is of length 13031, mapped to Complement, on beginning location of: 2951757
Sequence 5311, is of length 3129, mapped to Original, on beginning location of: 2867764
Sequence 5314, is of length 5611, mapped to Original, on beginning location of: 4786
Sequence 5317, is of length 6268, mapped to Original, on beginning location of: 2780
Sequence 5320, is of length 3279, mapped to Complement, on beginning location of: 4328961
Sequence 5323, is of length 7504, mapped to Complement, on beginning location of: 1193828
Sequence 5326, is of length 7655, mapped to Complement, on beginning location of: 176019
Sequence 5329, is of length 10601, mapped to Original, on beginning location of: 4415273
Sequence 5332, is of length 9458, mapped to Original, on beginning location of: 1181
Sequence 5335, is of length 10342, mapped to Complement, on beginning location of: 4010
Sequence 5338, is of length 9858, mapped to Complement, on beginning location of: 2522270
Sequence 5341, is of length 9906, mapped to Original, on beginning location of: 2078431
Sequence 5344, is of length 13518, mapped to Original, on beginning location of: 18465
Sequence 5347, is of length 7103, mapped to Complement, on beginning location of: 13392
Sequence 5350, is of length 11370, mapped to Complement, on beginning location of: 20294
Sequence 5353, is of length 7240, mapped to Original, on beginning location of: 26549
Sequence 5356, is of length 1061, mapped to Complement, on beginning location of: 25171
Sequence 5359, is of length 5158, mapped to Complement, on beginning location of: 2720779
Sequence 5362, is of length 9851, mapped to Complement, on beginning location of: 460511
Sequence 5365, is of length 3586, mapped to Original, on beginning location of: 465722
Sequence 5368, is of length 9924, mapped to Original, on beginning location of: 27131
Sequence 5371, is of length 7698, mapped to Complement, on beginning location of: 21678
Sequence 5374, is of length 9661, mapped to Original, on beginning location of: 3992276
Sequence 5377, is of length 7793, mapped to Complement, on beginning location of: 15040
Sequence 5380, is of length 14147, mapped to Original, on beginning location of: 2527499
Sequence 5383, is of length 11969, mapped to Complement, on beginning location of: 10961
Sequence 5386, is of length 4097, mapped to Complement, on beginning location of: 43007
Sequence 5389, is of length 7151, mapped to Original, on beginning location of: 1954645
Sequence 5392, is of length 8008, mapped to Complement, on beginning location of: 2222041
Sequence 5395, is of length 4751, mapped to Original, on beginning location of: 11186
Sequence 5398, is of length 6858, mapped to Complement, on beginning location of: 3684291
Sequence 5401, is of length 8780, mapped to Original, on beginning location of: 26199
Sequence 5404, is of length 11166, mapped to Original, on beginning location of: 3484614
Sequence 5407, is of length 6726, mapped to Complement, on beginning location of: 19079
Sequence 5410, is of length 7487, mapped to Complement, on beginning location of: 37324
Sequence 5413, is of length 12881, mapped to Complement, on beginning location of: 3605108
Sequence 5416, is of length 1753, mapped to Complement, on beginning location of: 15228
Sequence 5419, is of length 2653, mapped to Original, on beginning location of: 24206
Sequence 5422, is of length 11299, mapped to Complement, on beginning location of: 28013
Sequence 5425, is of length 7188, mapped to Complement, on beginning location of: 20108
Sequence 5428, is of length 7740, mapped to Complement, on beginning location of: 32854
Sequence 5431, is of length 9689, mapped to Original, on beginning location of: 3185677
Sequence 5434, is of length 12348, mapped to Original, on beginning location of: 1276542
Sequence 5437, is of length 5155, mapped to Complement, on beginning location of: 19339
Sequence 5440, is of length 8380, mapped to Complement, on beginning location of: 3306542
Sequence 5443, is of length 2778, mapped to Original, on beginning location of: 2663892
Sequence 5446, is of length 7551, mapped to Original, on beginning location of: 3552754
Sequence 5449, is of length 15404, mapped to Original, on beginning location of: 4313666
Sequence 5452, is of length 7500, mapped to Complement, on beginning location of: 2482
Sequence 5455, is of length 5002, mapped to Original, on beginning location of: 25390
Sequence 5458, is of length 5013, mapped to Complement, on beginning location of: 4623706
Sequence 5461, is of length 5514, mapped to Original, on beginning location of: 21984
Sequence 5464, is of length 9034, mapped to Original, on beginning location of: 15047
Sequence 5467, is of length 7061, mapped to Original, on beginning location of: 1222
Sequence 5470, is of length 10419, mapped to Original, on beginning location of: 1028943
Sequence 5473, is of length 13562, mapped to Complement, on beginning location of: 2948817
Sequence 5476, is of length 8963, mapped to Original, on beginning location of: 1320142
Sequence 5479, is of length 13183, mapped to Original, on beginning location of: 1678982
Sequence 5482, is of length 1371, mapped to Original, on beginning location of: 112948
Sequence 5485, is of length 7687, mapped to Original, on beginning location of: 1761746
Sequence 5488, is of length 7334, mapped to Original, on beginning location of: 4464829
Sequence 5491, is of length 4781, mapped to Original, on beginning location of: 19269
Sequence 5494, is of length 2451, mapped to Original, on beginning location of: 1461196
Sequence 5497, is of length 2730, mapped to Original, on beginning location of: 21002
Sequence 5500, is of length 13449, mapped to Complement, on beginning location of: 2284548
Sequence 5503, is of length 9840, mapped to Original, on beginning location of: 26019
Sequence 5506, is of length 7713, mapped to Complement, on beginning location of: 2121616
Sequence 5509, is of length 7366, mapped to Complement, on beginning location of: 809522
Sequence 5512, is of length 10054, mapped to Original, on beginning location of: 2365790
Sequence 5515, is of length 6709, mapped to Original, on beginning location of: 3480671
Sequence 5518, is of length 2468, mapped to Complement, on beginning location of: 3678877
Sequence 5521, is of length 14102, mapped to Complement, on beginning location of: 2602531
Sequence 5524, is of length 5298, mapped to Complement, on beginning location of: 2393269
Sequence 5527, is of length 4677, mapped to Original, on beginning location of: 307464
Sequence 5530, is of length 5287, mapped to Original, on beginning location of: 3805973
Sequence 5533, is of length 6093, mapped to Complement, on beginning location of: 34157
Sequence 5536, is of length 12979, mapped to Original, on beginning location of: 22249
Sequence 5539, is of length 9472, mapped to Complement, on beginning location of: 3471
Sequence 5542, is of length 6268, mapped to Original, on beginning location of: 41156
Sequence 5545, is of length 2790, mapped to Original, on beginning location of: 21002
Sequence 5548, is of length 13509, mapped to Complement, on beginning location of: 34047
Sequence 5551, is of length 10886, mapped to Original, on beginning location of: 3178098
Sequence 5554, is of length 13085, mapped to Complement, on beginning location of: 252769
Sequence 5557, is of length 11232, mapped to Original, on beginning location of: 43564
Sequence 5560, is of length 11481, mapped to Original, on beginning location of: 1626227
Sequence 5563, is of length 10848, mapped to Complement, on beginning location of: 2630688
Sequence 5566, is of length 13136, mapped to Original, on beginning location of: 1183275
Sequence 5569, is of length 2695, mapped to Complement, on beginning location of: 2290418
Sequence 5572, is of length 4113, mapped to Original, on beginning location of: 46121
Sequence 5575, is of length 2231, mapped to Original, on beginning location of: 419915
Sequence 5578, is of length 9885, mapped to Complement, on beginning location of: 917911
Sequence 5581, is of length 3085, mapped to Complement, on beginning location of: 2222041
Sequence 5584, is of length 12612, mapped to Complement, on beginning location of: 4384379
Sequence 5587, is of length 6595, mapped to Complement, on beginning location of: 2404957
Sequence 5590, is of length 4153, mapped to Complement, on beginning location of: 3114745
Sequence 5593, is of length 10814, mapped to Complement, on beginning location of: 11460
Sequence 5596, is of length 2012, mapped to Original, on beginning location of: 25886
Sequence 5599, is of length 5618, mapped to Complement, on beginning location of: 41055
Sequence 5602, is of length 5723, mapped to Original, on beginning location of: 708505
Sequence 5605, is of length 6914, mapped to Original, on beginning location of: 30853
Sequence 5608, is of length 4444, mapped to Complement, on beginning location of: 3880183
Sequence 5611, is of length 4213, mapped to Complement, on beginning location of: 4042191
Sequence 5614, is of length 3610, mapped to Original, on beginning location of: 2915469
Sequence 5617, is of length 8177, mapped to Complement, on beginning location of: 2340668
Sequence 5620, is of length 14090, mapped to Original, on beginning location of: 2703528
Sequence 5623, is of length 4203, mapped to Original, on beginning location of: 3982
Sequence 5626, is of length 5722, mapped to Original, on beginning location of: 3143361
Sequence 5629, is of length 10639, mapped to Complement, on beginning location of: 42558
Sequence 5632, is of length 6489, mapped to Original, on beginning location of: 16166
Sequence 5635, is of length 11470, mapped to Complement, on beginning location of: 43798
Sequence 5638, is of length 2749, mapped to Complement, on beginning location of: 3892040
Sequence 5641, is of length 10812, mapped to Complement, on beginning location of: 1394052
Sequence 5644, is of length 12090, mapped to Complement, on beginning location of: 31154
Sequence 5647, is of length 4460, mapped to Original, on beginning location of: 1161925
Sequence 5650, is of length 3510, mapped to Complement, on beginning location of: 4309230
Sequence 5653, is of length 11045, mapped to Original, on beginning location of: 34328
Sequence 5656, is of length 1671, mapped to Complement, on beginning location of: 668
Sequence 5659, is of length 2582, mapped to Original, on beginning location of: 21483
Sequence 5662, is of length 10415, mapped to Complement, on beginning location of: 2215747
Sequence 5665, is of length 11958, mapped to Complement, on beginning location of: 740068
Sequence 5668, is of length 6266, mapped to Original, on beginning location of: 37255
Sequence 5671, is of length 8733, mapped to Complement, on beginning location of: 1135954
Sequence 5674, is of length 7222, mapped to Original, on beginning location of: 18506
Sequence 5677, is of length 7460, mapped to Original, on beginning location of: 1239290
Sequence 5680, is of length 6642, mapped to Complement, on beginning location of: 61382
Sequence 5683, is of length 9778, mapped to Complement, on beginning location of: 136969
Sequence 5686, is of length 13500, mapped to Complement, on beginning location of: 2284548
Sequence 5689, is of length 4813, mapped to Original, on beginning location of: 1749489
Sequence 5692, is of length 5923, mapped to Original, on beginning location of: 1825423
Sequence 5695, is of length 7495, mapped to Complement, on beginning location of: 1826463
Sequence 5698, is of length 1297, mapped to Complement, on beginning location of: 18868
Sequence 5701, is of length 10133, mapped to Complement, on beginning location of: 2867452
Sequence 5704, is of length 12833, mapped to Complement, on beginning location of: 4041275
Sequence 5707, is of length 2656, mapped to Original, on beginning location of: 37742
Sequence 5710, is of length 6927, mapped to Complement, on beginning location of: 2695252
Sequence 5713, is of length 10989, mapped to Original, on beginning location of: 2633514
Sequence 5716, is of length 7681, mapped to Original, on beginning location of: 1717179
Sequence 5719, is of length 4517, mapped to Complement, on beginning location of: 31194
Sequence 5722, is of length 12229, mapped to Original, on beginning location of: 1601819
Sequence 5725, is of length 11330, mapped to Complement, on beginning location of: 456454
Sequence 5728, is of length 7898, mapped to Original, on beginning location of: 1615
Sequence 5731, is of length 4663, mapped to Complement, on beginning location of: 3111377
Sequence 5734, is of length 4059, mapped to Complement, on beginning location of: 1379295
Sequence 5737, is of length 8222, mapped to Complement, on beginning location of: 227220
Sequence 5740, is of length 7000, mapped to Complement, on beginning location of: 8687
Sequence 5743, is of length 7243, mapped to Complement, on beginning location of: 1275201
Sequence 5746, is of length 2722, mapped to Complement, on beginning location of: 3511766
Sequence 5749, is of length 10678, mapped to Original, on beginning location of: 10988
Sequence 5752, is of length 8468, mapped to Complement, on beginning location of: 1940
Sequence 5755, is of length 4114, mapped to Complement, on beginning location of: 34008
Sequence 5758, is of length 2622, mapped to Complement, on beginning location of: 3550259
Sequence 5761, is of length 10357, mapped to Original, on beginning location of: 1028943
Sequence 5764, is of length 11457, mapped to Complement, on beginning location of: 1066263
Sequence 5767, is of length 2944, mapped to Complement, on beginning location of: 2163675
Sequence 5770, is of length 1278, mapped to Original, on beginning location of: 5738
Sequence 5773, is of length 8129, mapped to Original, on beginning location of: 763438
Sequence 5776, is of length 3464, mapped to Complement, on beginning location of: 1320114
Sequence 5779, is of length 14571, mapped to Complement, on beginning location of: 1031505
Sequence 5782, is of length 12656, mapped to Original, on beginning location of: 6737
Sequence 5785, is of length 13336, mapped to Original, on beginning location of: 3207152
Sequence 5788, is of length 5317, mapped to Original, on beginning location of: 34752
Sequence 5791, is of length 2484, mapped to Original, on beginning location of: 1151910
Sequence 5794, is of length 10103, mapped to Original, on beginning location of: 3787330
Sequence 5797, is of length 4839, mapped to Complement, on beginning location of: 46291
Sequence 5800, is of length 11161, mapped to Complement, on beginning location of: 852393
Sequence 5803, is of length 9058, mapped to Original, on beginning location of: 3989412
Sequence 5806, is of length 7526, mapped to Complement, on beginning location of: 3907372
Sequence 5809, is of length 5792, mapped to Complement, on beginning location of: 37594
Sequence 5812, is of length 8545, mapped to Original, on beginning location of: 26199
Sequence 5815, is of length 12324, mapped to Original, on beginning location of: 40952
Sequence 5818, is of length 5407, mapped to Original, on beginning location of: 1893756
Sequence 5821, is of length 12567, mapped to Original, on beginning location of: 5155
Sequence 5824, is of length 6198, mapped to Complement, on beginning location of: 4543067
Sequence 5827, is of length 7703, mapped to Complement, on beginning location of: 1320142
Sequence 5830, is of length 7496, mapped to Complement, on beginning location of: 31916
Sequence 5833, is of length 10110, mapped to Complement, on beginning location of: 2360705
Sequence 5836, is of length 2713, mapped to Original, on beginning location of: 4354917
Sequence 5839, is of length 9056, mapped to Original, on beginning location of: 1497892
Sequence 5842, is of length 16083, mapped to Complement, on beginning location of: 15088
Sequence 5845, is of length 8077, mapped to Original, on beginning location of: 24647
Sequence 5848, is of length 4260, mapped to Original, on beginning location of: 15243
Sequence 5851, is of length 13417, mapped to Original, on beginning location of: 4123076
Sequence 5854, is of length 14119, mapped to Original, on beginning location of: 23052
Sequence 5857, is of length 8743, mapped to Complement, on beginning location of: 3955475
Sequence 5860, is of length 6260, mapped to Complement, on beginning location of: 2597668
Sequence 5863, is of length 4651, mapped to Complement, on beginning location of: 27344
